competitor,role,department,region,description,posting_date,count,month,description_cluster,cluster_name
People 2.0,Payroll and Billing Specialist,Payroll,EMEA,"Coordinate accurate and timely payroll processing for employees and contractors in Germany. Manage invoicing via P20 systems, VMS, or client portals, ensuring compliance with local regulations.",2025-06-01,1,2025-06,0,Platform Innovators
Deel,Payroll Operations,Payroll,Global,"Manage payroll compliance and operations across Colombia, EU, Japan, India, Australia. Includes roles like Payroll Compliance Analyst and Team Lead.",2025-05-01,48,2025-05,0,Platform Innovators
Deel,Sales and Marketing,Sales,Global,"Drive market penetration through sales development, marketing, and partnerships across AMER, EMEA, APAC. Includes 59 Sales and 20 Sales Development roles.",2025-02-01,72,2025-02,2,Compliance & Operations
Deel,R&D,R&D,Global,"Develop products for EOR, payroll, fintech integrations, and onboarding. Includes Senior Product Manager, Principal Product Manager, and Director roles.",2025-04-01,51,2025-04,0,Platform Innovators
Deel,Customer Success,Customer Success,Global,"Support customer onboarding and success across AMER, EMEA, New Zealand. Includes 12 Customer Success roles.",2025-06-01,12,2025-06,1,APAC Sales Growth
Deel,Enterprise Global Payroll,Payroll,Global,"Manage enterprise payroll operations in EU, Australia, Mexico, India, ensuring compliance and scalability.",2025-06-01,16,2025-06,0,Platform Innovators
Deel,GTM Ops,Operations,Global,"Support go-to-market operations in US, EMEA, with 4 roles focused on operational efficiency.",2025-02-01,4,2025-02,1,APAC Sales Growth
Deel,Expansion Ops,Operations,Global,"Drive expansion in China, Japan, APAC, UK, with 4 roles targeting new market opportunities.",2025-04-01,4,2025-04,2,Compliance & Operations
Deel,HR,HR,Global,"Manage HR operations in LATAM, Switzerland, APAC, EMEA, with 7 roles focused on employee engagement.",2025-05-01,7,2025-05,1,APAC Sales Growth
Deel,Finance,Finance,Global,"Handle financial operations and budgeting across global regions, with 11 roles.",2025-01-01,11,2025-01,1,APAC Sales Growth
Deel,People,HR,Global,Support people operations and employee engagement with 2 roles across global regions.,2025-04-01,2,2025-04,1,APAC Sales Growth
Deel,Procurement,Operations,Global,Manage procurement processes with 1 role supporting global operations.,2025-02-01,1,2025-02,1,APAC Sales Growth
Deel,Local Payroll,Payroll,Global,"Handle local payroll compliance in Singapore, Australia, South Africa, with 4 roles.",2025-06-01,4,2025-06,0,Platform Innovators
Deel,Data,Data,Global,Support data-driven decision-making and analytics with 10 roles across global regions.,2025-05-01,10,2025-05,1,APAC Sales Growth
Deel,Engineering,Tech,Global,Develop technical infrastructure for platform scalability with 9 roles.,2025-04-01,9,2025-04,1,APAC Sales Growth
Remote,Remote Work Specialist,Operations,Global,"Support remote work solutions for clients, including onboarding, compliance, and remote payroll processing.",2025-01-01,1,2025-01,0,Platform Innovators
Remote,Product Manager (Remote Tools),Tech,Global,"Develop tools for remote work, including collaboration platforms and compliance tracking systems.",2025-01-01,1,2025-01,0,Platform Innovators
Remote,Sales Manager,Sales,EMEA,"Drive client acquisition in EMEA, focusing on remote-first companies and compliance solutions.",2025-03-01,1,2025-03,2,Compliance & Operations
Remote,Payroll Compliance Analyst,Payroll,Global,Ensure compliance with global payroll regulations for remote employees.,2025-03-01,1,2025-03,0,Platform Innovators
Multiplier,Payroll Operations Lead,Payroll,APAC,"Lead payroll operations for EOR services in APAC, focusing on compliance and scalability.",2025-02-01,1,2025-02,0,Platform Innovators
Multiplier,Sales Development Representative,Sales,APAC,Drive market expansion in APAC through client acquisition and partnerships.,2025-04-01,1,2025-04,2,Compliance & Operations
Multiplier,Compliance Specialist,Compliance,LATAM,Ensure regulatory compliance for EOR services in Latin American markets.,2025-04-01,1,2025-04,0,Platform Innovators
Multiplier,Integration Engineer,Tech,APAC,"Develop integrations for payroll and HR platforms, focusing on API-driven solutions.",2025-06-01,1,2025-06,0,Platform Innovators
